en,de,en_tok,de_tok,en_to_de_prob,de_to_en_prob
▁depth,▁Tiefe,10624,144514,0.794,0.566
▁describe,▁beschreiben,12637,205601,0.531,0.4895
▁described,▁beschrieben,6547,117700,0.5576,0.7256
▁describes,▁beschreibt,19306,192928,0.4832,0.7124
▁description,▁Beschreibung,5966,77863,0.7456,0.55
▁design,▁Entwurf,2480,192094,0.1929,0.3452
▁despite,▁trotz,12391,58358,0.518,0.656
▁destroyed,▁zerstört,17726,198959,0.4277,0.852
▁determination,▁Bestimmung,17564,130850,0.1321,0.223
▁determine,▁bestimmen,8363,145355,0.2834,0.3733
▁determined,▁bestimmt,8245,72855,0.2124,0.1135
▁develop,▁entwickeln,2115,106118,0.519,0.5493
▁developed,▁entwickelt,6990,73247,0.339,0.652
▁development,▁Entwicklung,3505,37515,0.3623,0.659
▁deviation,▁Abweich,25760,216838,0.433,0.3145
▁device,▁Gerät,6064,80742,0.312,0.374
▁devil,▁Teufel,29137,167153,0.5664,0.5967
▁diagnosis,▁Diagnose,19491,155028,0.5845,0.518
▁dialogue,▁Dialog,25085,27002,0.1743,0.2279
▁diameter,▁Durchmesser,13779,150255,0.5015,0.7783
▁diamond,▁Diam,19419,52525,0.717,0.3896
▁died,▁starb,7404,147441,0.4365,0.831
▁difference,▁Unterschied,5830,97692,0.6206,0.5806
▁differences,▁Unterschiede,10216,159092,0.6396,0.7485
▁different,▁verschieden,2167,128630,0.366,0.6973
▁difficult,▁schwierig,5988,132204,0.4612,0.713
▁difficulties,▁Schwierigkeiten,19086,151154,0.444,0.4358
▁difficulty,▁Schwier,15053,110404,0.4507,0.3167
▁diploma,▁Diplom,41260,78274,0.5566,0.3418
▁direction,▁Richtung,6581,64433,0.834,0.7095
▁directly,▁direkt,6673,32642,0.6562,0.589
▁director,▁Direktor,8453,149567,0.2595,0.7544
▁discount,▁Rabatt,15144,194498,0.523,0.829
▁discovered,▁entdeckt,13437,151470,0.3535,0.6724
▁discuss,▁disku,9742,114742,0.371,0.275
▁discussion,▁Diskussion,8827,120141,0.2856,0.6323
▁disease,▁Krankheit,7197,115746,0.7983,0.3315
▁diseases,▁Krankheiten,16011,172584,0.7046,0.6245
▁dispute,▁Streit,26534,112521,0.535,0.373
▁distance,▁Entfernung,6075,138873,0.237,0.803
▁distributed,▁verteilt,15474,194725,0.3252,0.4175
▁distribution,▁Verteilung,7107,230941,0.446,0.7026
▁diversity,▁Vielfalt,19871,179473,0.372,0.4272
▁doctor,▁Arzt,9353,88386,0.7505,0.862
▁doctors,▁Ärzte,20671,161923,0.6226,0.761
▁document,▁Dokument,4551,81149,0.1838,0.694
▁documentation,▁Dokumentation,18312,196781,0.3315,0.3572
▁documents,▁Dokumente,10817,186750,0.6035,0.6914
▁dog,▁Hund,5929,63438,0.914,0.932
▁dogs,▁Hunde,12075,116873,0.5474,0.8286
▁donations,▁Spenden,31162,104675,0.2588,0.513
▁done,▁fertig,3015,85700,0.406,0.3494
▁door,▁Tür,4444,28226,0.392,0.8867
▁doors,▁Türen,13076,178513,0.661,0.8296
▁dose,▁Dosis,17050,203597,0.2551,0.7246
▁double,▁Doppel,4199,80483,0.512,0.474
▁down,▁runter,1706,189025,0.11304,0.743
▁dragon,▁Dra,17219,11579,0.6235,0.0609
▁draw,▁zeichnen,4297,180979,0.606,0.4324
▁drawing,▁Zeich,10478,103917,0.4097,0.2251
▁draws,▁zeichnet,33184,200565,0.1316,0.3403
▁dream,▁Traum,6523,86163,0.7856,0.8857
▁dressed,▁gekle,25716,188067,0.2458,0.1531
▁dried,▁getrock,22575,233503,0.259,0.6655
▁drink,▁trinken,7182,154508,0.904,0.5454
▁driver,▁Fahrer,8569,123895,0.5464,0.849
▁drives,▁fährt,24534,146346,0.564,0.2656
▁drop,▁Tropfen,7605,225815,0.455,0.6763
▁drove,▁fuhr,26269,169199,0.3677,0.3633
▁drugs,▁Drogen,13970,232609,0.2622,0.679
▁dry,▁trocken,6050,144481,0.5747,0.9004
▁duck,▁Ente,29828,182016,0.2281,0.2174
▁duke,▁Herzog,63368,71118,0.312,0.2461
▁duration,▁Dauer,14827,92327,0.531,0.4216
▁during,▁während,2290,27692,0.5884,0.4482
▁dust,▁Staub,12891,131749,0.7793,0.6963
▁duty,▁Pflicht,10272,130757,0.1367,0.716
▁dynamic,▁dyna,12415,7894,0.477,0.1193
▁eagle,▁Adler,37888,78988,0.602,0.415
▁ear,▁Ohr,2007,131684,0.781,0.871
▁earlier,▁früher,7910,57260,0.575,0.285
▁early,▁früh,4061,82478,0.386,0.849
▁earn,▁verdienen,14800,150878,0.472,0.3528
▁ears,▁Ohren,19475,184243,0.3752,0.4941
▁earth,▁Erde,6683,66980,0.655,0.4224
▁easier,▁leichter,10154,124893,0.3203,0.2455
▁east,▁Ost,9110,40460,0.291,0.4622
▁easy,▁leicht,3980,38008,0.533,0.5503
▁eat,▁essen,7812,76043,0.5513,0.522
▁ecological,▁ökolog,39922,224475,0.3298,0.4304
▁economy,▁Wirtschaft,9797,91080,0.4858,0.402
▁edge,▁Rand,8541,24339,0.2161,0.477
▁edit,▁bearbeiten,9387,197907,0.1699,0.7456
▁education,▁Bildung,5404,57458,0.3179,0.602
▁effect,▁Effekt,4232,185472,0.3499,0.79
▁effective,▁effektiv,7017,114151,0.1266,0.6714
▁egg,▁Ei,13514,49116,0.8364,0.884
▁eggs,▁Eier,12776,103196,0.697,0.719
▁eight,▁acht,8469,65302,0.8438,0.9375
▁elected,▁gewählt,17710,113469,0.659,0.7876
▁election,▁Wahl,11621,39997,0.4224,0.7417
▁electric,▁elektr,6038,61513,0.4146,0.4717
▁electricity,▁Elekt,19080,58981,0.2913,0.4412
▁electron,▁Elektron,9133,106797,0.9136,0.5337
▁electronic,▁elektron,16034,47279,0.659,0.3975
▁electronics,▁Elektronik,36147,201527,0.733,0.4807
▁elements,▁Elemente,6635,106726,0.8135,0.7637
▁elephant,▁Ele,38816,11513,0.629,0.1141
▁eleven,▁elf,29754,52931,0.67,0.3303
▁employed,▁beschäftigt,12777,139311,0.373,0.4585
▁employer,▁Arbeitgeber,20878,190308,0.0972,0.8105
▁empty,▁leer,8144,27975,0.82,0.8335
▁end,▁Ende,1580,27336,0.772,0.867
▁ends,▁endet,11338,182069,0.2798,0.5747
▁enemies,▁Feinde,19724,179468,0.6226,0.686
▁enemy,▁Feind,12785,128256,0.8403,0.7397
▁energy,▁Energie,4134,50515,0.6562,0.723
▁engineer,▁Ingenie,22895,158880,0.4866,0.703
▁enough,▁genug,3594,62025,0.7163,0.8696
▁entertainment,▁Unterhaltung,19448,163285,0.11993,0.561
▁entrance,▁Eingang,16277,125375,0.3713,0.8105
▁entrepreneur,▁Unternehmer,53840,152108,0.1849,0.281
▁equal,▁gleich,6871,22050,0.681,0.3633
▁error,▁Fehler,3333,58291,0.6494,0.597
▁especially,▁besonders,5199,37026,0.3162,0.3904
▁evening,▁Abend,9478,47415,0.841,0.8213
▁event,▁Ereign,3071,98476,0.1919,0.6187
▁events,▁Ereignisse,5562,166448,0.313,0.774
▁every,▁jedes,1535,56262,0.185,0.5303
▁everything,▁alles,4553,17280,0.7007,0.5176
▁everywhere,▁überall,17165,88804,0.373,0.866
▁exactly,▁exakt,7880,205180,0.3125,0.444
▁exam,▁Prüfung,7106,111395,0.3608,0.2988
▁example,▁Beispiel,3287,38174,0.682,0.623
▁examples,▁Beispiele,8944,76895,0.939,0.586
▁except,▁außer,7694,35892,0.254,0.197
▁exception,▁Ausnahme,7418,135540,0.41,0.5483
▁excluded,▁ausgeschlossen,30111,174261,0.1927,0.533
▁exclusive,▁exklu,15587,126500,0.4558,0.3525
▁exercise,▁Übung,9987,176254,0.112,0.5913
▁exercises,▁Übungen,21426,196689,0.4915,0.626
▁exhibition,▁Ausstellung,21707,103514,0.7246,0.645
▁exist,▁existi,3120,84354,0.3352,0.364
▁existence,▁Existenz,12435,172914,0.1572,0.55
▁exit,▁Ausgang,13581,125905,0.272,0.2189
▁exotic,▁exo,44035,71606,0.539,0.0858
▁expanded,▁erweitert,21787,168207,0.3218,0.302
▁expectations,▁Erwartungen,18307,225899,0.1224,0.678
▁expected,▁erwartet,5043,106094,0.2559,0.1873
▁expensive,▁teuer,12024,156006,0.748,0.784
▁experience,▁Erfahrung,3281,40605,0.4749,0.7397
▁experts,▁Experten,12930,136633,0.5264,0.679
▁explain,▁erklären,10200,97248,0.4685,0.495
▁explains,▁erklärt,19771,67657,0.4539,0.568
▁expression,▁Ausdruck,6887,102359,0.2056,0.5537
▁extensive,▁umfang,15752,131769,0.08765,0.1388
▁extreme,▁extrem,7274,37318,0.362,0.2764
▁eye,▁Auge,6312,88196,0.5894,0.6914
▁eyes,▁Augen,4628,36085,0.9287,0.7734
▁fabrics,▁Stoffe,44683,191511,0.2542,0.2308
▁face,▁Gesicht,3142,97914,0.688,0.876
▁facilities,▁Anlagen,9674,128461,0.303,0.284
▁fact,▁Tatsache,2252,151762,0.3472,0.846
▁factor,▁Faktor,7435,142298,0.76,0.6045
▁factors,▁Faktoren,7549,158723,0.609,0.7114
▁factory,▁Fabrik,11902,152418,0.539,0.8203
▁facts,▁Fakten,10275,177260,0.4055,0.655
▁faculty,▁Fakult,21143,200648,0.412,0.1896
▁faith,▁Glaube,8278,213976,0.742,0.4944
▁fame,▁Ruhm,21048,210144,0.5547,0.4033
▁families,▁Familien,9160,52506,0.7607,0.561
▁family,▁Familie,2730,41901,0.8564,0.828
▁fantasy,▁Fantas,24675,81470,0.10455,0.2761
▁far,▁weit,2166,35806,0.4172,0.8613
▁farm,▁Hof,7091,30507,0.1516,0.442
▁farmer,▁Bauer,26354,59259,0.4194,0.8643
▁fast,▁schnell,4847,35535,0.3037,0.5156
▁faster,▁schneller,13042,114825,0.785,0.779
▁fat,▁fett,6181,128346,0.7427,0.3298
▁fate,▁Schicksal,20765,173804,0.638,0.697
▁father,▁Vater,5842,45038,0.6055,0.8706
▁fear,▁Angst,7440,76871,0.4724,0.6963
▁features,▁Merkmale,5119,151292,0.3716,0.3215
▁federal,▁Bundes,10871,27518,0.2227,0.3247
▁feeling,▁Gefühl,7965,81886,0.1924,0.7544
▁feelings,▁Gefühle,14690,176853,0.356,0.4907
▁feels,▁fühlt,12051,148983,0.2094,0.575
▁fees,▁Gebühren,13561,217681,0.08795,0.349
▁festival,▁Fest,12719,34861,0.3047,0.4314
▁fever,▁Fieber,23391,208685,0.5264,0.7705
▁few,▁wenige,2619,98355,0.7104,0.786
▁field,▁Feld,2725,42273,0.424,0.8506
▁fields,▁Felder,7969,148820,0.8047,0.7656
▁fight,▁Kampf,5900,76156,0.2156,0.3079
▁figure,▁Figur,5774,92396,0.7227,0.6313
▁figures,▁Figuren,10511,154078,0.5415,0.6846
▁file,▁Datei,2482,127465,0.09033,0.715
▁files,▁Dateien,6630,150546,0.3484,0.7944
▁filled,▁gefüllt,10545,231274,0.3896,0.509
▁films,▁Filme,14013,123728,0.8877,0.4006
▁finally,▁endlich,6247,65558,0.2815,0.6787
▁find,▁finden,1717,21947,0.716,0.6714
▁finds,▁findet,16420,39278,0.5996,0.285
▁fire,▁Feuer,3967,47502,0.4128,0.842
▁first,▁erster,1370,86285,0.2769,0.8784
▁fish,▁Fisch,5001,71536,0.6284,0.9
▁fits,▁passt,17508,86306,0.3765,0.328
▁five,▁fünf,4105,50467,0.624,0.7935
▁fixed,▁fest,8115,23255,0.51,0.2725
▁flexible,▁flexibel,17547,195514,0.2144,0.704
▁flight,▁Flug,11247,53018,0.4553,0.7227
▁flour,▁Mehl,16251,110772,0.4922,0.5522
▁flower,▁Blume,10377,156667,0.5566,0.826
▁flowers,▁Blumen,9148,74728,0.5166,0.837
▁foam,▁Schaum,24565,229657,0.4883,0.592
▁focus,▁Fokus,6045,123993,0.297,0.6494
▁fog,▁Nebel,17373,203892,0.495,0.688
▁folder,▁Ordner,15173,231207,0.4766,0.729
▁follow,▁folgen,1611,82040,0.5913,0.5566
▁follows,▁folgt,6397,70550,0.589,0.5825
▁food,▁Essen,2960,56052,0.1833,0.3652
▁foot,▁Fuß,4701,34350,0.651,0.7095
▁for,▁für,604,2943,0.3223,0.717
▁forbidden,▁verboten,46539,176069,0.2642,0.509
▁forest,▁Wald,9309,36810,0.712,0.791
▁fork,▁Gabel,24943,219543,0.4158,0.5015
▁formed,▁gebildet,10311,155625,0.2107,0.5864
▁forms,▁Formen,7539,84288,0.221,0.623
▁formula,▁Formel,10513,131545,0.71,0.6226
▁found,▁gefunden,1942,47718,0.392,0.7925
▁founded,▁gegründet,18942,122889,0.2969,0.7095
▁founder,▁Gründer,27156,210614,0.2903,0.8003
▁four,▁vier,2785,17084,0.9536,0.956
▁fox,▁Fuchs,25341,105564,0.244,0.624
▁frame,▁Rahmen,5265,49979,0.1509,0.554
▁free,▁frei,2223,53324,0.8457,0.817
▁freedom,▁Freiheit,11402,90937,0.7124,0.687
▁frequency,▁Frequ,10474,99131,0.364,0.328
▁fresh,▁frisch,6422,124350,0.479,0.6553
▁fridge,▁Kühlschrank,38641,209260,0.4116,0.4402
▁friend,▁Freund,4034,45199,0.6553,0.8833
▁friendly,▁freundlich,9376,126200,0.3608,0.6724
▁friends,▁Freunde,4078,74866,0.6577,0.855
▁friendship,▁Freundschaft,25217,196046,0.674,0.7646
▁from,▁von,774,2232,0.5107,0.36
▁front,▁Vorder,4059,101685,0.1702,0.621
▁fruit,▁Obst,9471,125525,0.3442,0.748
▁fruits,▁Früchte,16803,181643,0.635,0.518
▁frustration,▁Frust,46524,150890,0.4685,0.2727
▁full,▁voll,2247,26053,0.6494,0.7344
▁fun,▁Spaß,2245,62853,0.10986,0.7983
▁function,▁Funktion,1411,62951,0.3787,0.665
▁functions,▁Funktionen,7257,77914,0.371,0.703
▁funny,▁lustig,10555,178747,0.269,0.7056
▁furniture,▁Möbel,16241,157344,0.5103,0.818
▁further,▁weiter,4024,15435,0.4514,0.4624
▁future,▁Zukunft,3936,54884,0.1595,0.775
▁gallery,▁Galerie,12167,73691,0.4758,0.642
▁game,▁Spiel,2398,20206,0.4055,0.524
▁games,▁Spiele,5178,91871,0.7466,0.7163
▁garden,▁Garten,8717,53955,0.7124,0.802
▁garlic,▁Knoblauch,25470,177149,0.498,0.6714
▁gate,▁Tor,13639,7321,0.79,0.489
▁gates,▁Tore,31987,104314,0.6245,0.333
▁gave,▁gab,5645,22052,0.4795,0.6025
▁gender,▁Geschlecht,15408,205042,0.5303,0.601
▁generally,▁allgemein,7783,111720,0.173,0.4663
▁generous,▁großzü,27562,227359,0.1016,0.4866
▁geographical,▁geograph,37877,96214,0.555,0.3276
▁geometry,▁Geomet,24776,161542,0.5566,0.287
▁gesture,▁Geste,39422,221846,0.1898,0.454
▁gets,▁bekommt,6803,97620,0.2544,0.4724
▁giant,▁Riesen,17835,225470,0.274,0.3718
▁gift,▁Geschenk,8135,137031,0.3965,0.7153
▁girl,▁Mädchen,4602,72320,0.1724,0.761
▁girlfriend,▁Freundin,29976,175167,0.612,0.3628
▁give,▁geben,2734,29563,0.595,0.6426
▁given,▁gegeben,2764,48888,0.1652,0.5786
▁gives,▁gibt,6156,14991,0.5005,0.3257
▁glass,▁Glas,5570,23847,0.7417,0.852
▁go,▁gehen,871,34712,0.3975,0.622
▁goal,▁Ziel,6789,37000,0.586,0.3708
▁gods,▁Götter,23694,178230,0.2979,0.5034
▁goes,▁geht,6128,20559,0.7354,0.4612
▁good,▁gut,1426,12792,0.9307,0.7114
▁government,▁Regierung,3838,72625,0.2098,0.5723
▁grace,▁Gnade,15434,183198,0.1711,0.3
▁gradually,▁allmäh,20914,194914,0.2323,0.2996
▁grain,▁Korn,17258,88423,0.3647,0.4177
▁grams,▁Gramm,27491,77793,0.8193,0.4807
▁grateful,▁dankbar,22617,181719,0.3447,0.4373
▁grave,▁Grab,17920,45483,0.327,0.519
▁gray,▁grau,13676,52973,0.6206,0.3599
▁green,▁grün,4433,89911,0.7515,0.9077
▁group,▁Gruppe,2778,57111,0.7427,0.7817
▁groups,▁Gruppen,5452,70270,0.7,0.6636
▁grow,▁wachsen,2664,162045,0.1818,0.658
▁grows,▁wächst,26075,176690,0.397,0.777
▁growth,▁Wachstum,5115,151968,0.3967,0.747
▁guarantee,▁Garantie,16919,105033,0.0818,0.4817
▁guest,▁Gast,15443,25080,0.92,0.6636
▁guests,▁Gäste,13187,69204,0.5864,0.7314
▁guidelines,▁Richtlinien,17923,219081,0.2842,0.3635
▁guilty,▁schuldig,18440,229791,0.7725,0.8823
▁guitar,▁Gitar,14673,145823,0.6895,0.7725
▁had,▁hatte,1093,16705,0.4429,0.715
▁hair,▁Haar,5054,62574,0.4165,0.69
▁half,▁halb,3933,106498,0.3843,0.8525
▁hands,▁Hände,4961,106136,0.4983,0.867
▁happened,▁gescha,7522,156460,0.2605,0.1768
▁happens,▁passiert,9597,103885,0.4006,0.6177
▁happy,▁glücklich,4915,113310,0.309,0.893
▁hard,▁hart,2811,43172,0.5933,0.6274
▁hardly,▁kaum,17791,47664,0.3604,0.1823
▁harmony,▁Harmonie,26290,230873,0.2747,0.444
▁has,▁hat,919,3954,0.8,0.5664
▁have,▁haben,791,8459,0.6475,0.668
▁hay,▁Heu,7271,196370,0.4358,0.3962
▁he,▁er,693,1123,0.595,0.1504
▁head,▁Kopf,2206,51038,0.4946,0.7554
▁health,▁Gesundheit,2962,70174,0.549,0.579
▁healthy,▁gesund,9606,97457,0.5513,0.6235
▁hear,▁hören,4675,86202,0.3733,0.3167
▁heart,▁Herz,3760,28781,0.8525,0.822
▁heat,▁Hitze,6719,186428,0.5156,0.825
▁heating,▁Heizung,18074,212914,0.1239,0.649
▁heavy,▁schwer,8090,41876,0.6953,0.4321
▁height,▁Höhe,5721,49947,0.6323,0.753
▁held,▁gehalten,4600,85997,0.1448,0.4268
▁hello,▁Hallo,25612,25275,0.3447,0.4072
▁helmet,▁Helm,30574,71569,0.683,0.5483
▁help,▁Hilfe,1707,47793,0.3914,0.7334
▁helps,▁hilft,7154,78348,0.4387,0.535
▁herbs,▁Kräuter,39044,205638,0.346,0.723
▁here,▁hier,1517,7176,0.747,0.8896
▁hero,▁Held,8888,60139,0.8447,0.749
▁heroes,▁Helden,25579,145295,0.897,0.7104
▁high,▁hoch,1536,26595,0.603,0.6216
▁higher,▁höher,4871,67060,0.6123,0.7085
▁him,▁ihn,1357,19535,0.3545,0.532
▁historical,▁histor,13457,7350,0.2788,0.2942
▁history,▁Geschichte,4281,32182,0.609,0.7305
▁hold,▁halten,3385,46349,0.2423,0.4421
▁holder,▁Halter,18097,218966,0.1324,0.0464
▁holds,▁hält,12723,66039,0.3909,0.3604
▁holiday,▁Urlaub,12083,82269,0.2864,0.4092
▁holy,▁heilig,19219,203336,0.671,0.7876
▁honest,▁ehrlich,10406,199761,0.58,0.6226
▁honey,▁Honig,17195,148759,0.82,0.8584
▁honor,▁Ehre,12327,103404,0.6147,0.4685
▁hope,▁Hoffnung,4077,107034,0.733,0.84
▁horse,▁Pferd,10468,147657,0.582,0.903
▁horses,▁Pferde,18292,136009,0.545,0.6035
▁hour,▁Stunde,6370,77369,0.853,0.9004
▁hours,▁Stunden,3763,43866,0.7607,0.8916
▁house,▁Haus,3036,23470,0.8115,0.887
▁houses,▁Häuser,12273,115586,0.715,0.8013
▁hundred,▁hundert,7541,146858,0.3066,0.8564
▁hunt,▁Jag,12407,22327,0.1478,0.2314
▁hunter,▁Jäger,32993,142595,0.7295,0.633
▁hydrogen,▁Wasserstoff,20303,229154,0.931,0.4873
▁ice,▁Eis,8357,48140,0.8965,0.7524
▁idea,▁Idee,4268,68444,0.7407,0.8574
▁ideas,▁Ideen,5793,72831,0.7144,0.7944
▁identical,▁identi,20745,3348,0.546,0.2456
▁identify,▁identif,11441,31957,0.2054,0.3252
▁identity,▁Identität,12852,219670,0.4639,0.7183
▁immediately,▁sofort,7544,58289,0.333,0.3713
▁immune,▁immun,24091,20034,0.3367,0.3323
▁impaired,▁beeintr,53322,220458,0.1175,0.03976
▁implementation,▁Umsetzung,11791,134253,0.0726,0.4338
▁important,▁wichtig,2845,41732,0.6978,0.8545
▁impossible,▁unmöglich,11623,148125,0.6025,0.745
▁impression,▁Eindruck,17348,126890,0.3933,0.822
▁improve,▁verbessern,4771,79378,0.653,0.4343
▁improved,▁verbessert,12188,174667,0.1329,0.5107
▁improvement,▁Verbesserung,13194,144056,0.131,0.709
▁income,▁Einkommen,8316,199583,0.6646,0.7725
▁independence,▁Unab,22413,200537,0.437,0.079
▁individual,▁Individ,3811,112675,0.2457,0.402
▁industrial,▁industrielle,9365,132169,0.1819,0.846
▁industry,▁Industrie,5361,92377,0.2515,0.502
▁infection,▁Infe,15618,136688,0.4395,0.2642
▁influence,▁Einfluss,8590,117744,0.3828,0.5854
▁informed,▁informiert,15335,158585,0.1564,0.6445
▁infrastructure,▁Infrastruktur,16888,168722,0.5195,0.6895
▁ingredients,▁Zutaten,15555,164167,0.4963,0.7397
▁injured,▁verletzt,19030,179410,0.1964,0.4336
▁inside,▁innen,5580,67522,0.4158,0.4724
▁inspired,▁inspiri,15783,215275,0.703,0.3179
▁installed,▁installiert,11598,170170,0.147,0.719
▁instead,▁statt,5918,33523,0.1533,0.453
▁institutions,▁Institutionen,12021,230660,0.1335,0.5317
▁instruments,▁Instrumente,18159,232294,0.56,0.6934
▁insurance,▁Versicherung,9490,173462,0.3936,0.6934
▁integrated,▁integriert,17295,209361,0.1333,0.4663
▁intelligence,▁Intelligen,17273,160278,0.3914,0.279
▁intensity,▁Intens,18320,202992,0.4067,0.4185
▁interact,▁interag,22557,174556,0.1694,0.2817
▁interactive,▁interak,29295,179232,0.4358,0.3467
▁interest,▁Interesse,3273,74472,0.04886,0.7383
▁interested,▁interessiert,8202,152234,0.3484,0.4788
▁interesting,▁interessant,7103,94524,0.4336,0.8545
▁interests,▁Interessen,10714,110254,0.1721,0.5986
▁interval,▁Interv,15133,19186,0.406,0.3547
▁intimate,▁intim,35656,37488,0.1316,0.529
▁introduced,▁eingeführt,11261,180587,0.618,0.6626
▁invention,▁Erfindung,26532,165276,0.3464,0.8477
▁invest,▁investi,4893,37404,0.519,0.557
▁investigated,▁untersucht,26344,157665,0.271,0.2356
▁investigation,▁Untersuchung,11991,94747,0.4028,0.4976
▁investigations,▁Untersuchungen,27355,103886,0.3804,0.2637
▁invitation,▁Einladung,29151,191451,0.5996,0.8213
▁invited,▁eingeladen,19170,188217,0.2333,0.8213
▁involved,▁beteiligt,6664,184066,0.218,0.1445
▁iron,▁Eisen,8456,40604,0.7896,0.7104
▁is,▁ist,603,2641,0.799,0.7603
▁island,▁Insel,10534,84300,0.526,0.8037
▁islands,▁Inseln,25199,204005,0.7925,0.607
▁isolated,▁isoliert,9685,143829,0.4446,0.8335
▁it,▁es,665,875,0.656,0.2559
▁jewelry,▁Schmuck,25362,159786,0.453,0.1655
▁joy,▁Freude,10300,73625,0.4775,0.773
▁judge,▁Richter,11490,61019,0.7285,0.4917
▁judgment,▁Urteil,12182,144112,0.4849,0.2324
▁justice,▁Gerechtigkeit,12316,195134,0.26,0.659
▁kidney,▁Nieren,34132,220313,0.2974,0.2698
▁kilometers,▁Kilometer,46624,107547,0.7095,0.2408
▁king,▁König,7201,33009,0.569,0.7017
▁kingdom,▁Reich,20113,28312,0.2942,0.1918
