en,fr,en_tok,fr_tok,en_to_fr_prob,fr_to_en_prob
▁African,▁africain,10742,127348,0.5913,0.766
▁American,▁américain,3725,60385,0.3816,0.8228
▁Asian,▁asiatique,18439,213440,0.9136,0.687
▁Catholic,▁catholique,14743,123902,0.3909,0.682
▁Chinese,▁chinois,8974,99101,0.791,0.742
▁Christian,▁chrétien,8103,220080,0.682,0.8794
▁Christmas,▁Noël,9271,73719,0.579,0.923
▁DNA,▁ADN,11999,113894,0.4702,0.7495
▁English,▁anglais,4645,54619,0.608,0.6704
▁European,▁européen,7737,112299,0.4675,0.892
▁French,▁français,6987,24913,0.3027,0.6406
▁German,▁allemand,5132,71315,0.3787,0.871
▁God,▁Dieu,2992,26155,0.775,0.868
▁I,▁je,590,1957,0.652,0.8086
▁Indian,▁indien,6481,101666,0.5015,0.7476
▁Italian,▁italien,12710,56065,0.2035,0.822
▁Japanese,▁japonais,11430,107707,0.3823,0.605
▁Mexican,▁mexic,24019,29540,0.8135,0.3162
▁Mr,▁Monsieur,3046,55992,0.6562,0.3508
▁Mrs,▁Madame,7336,40120,0.264,0.254
▁Muslim,▁musul,26223,86312,0.8633,0.6245
▁Russian,▁russe,11200,85417,0.4912,0.821
▁Senate,▁Sénat,17598,203950,0.8516,0.6147
▁Soviet,▁sovi,17569,110220,0.4783,0.2146
▁abandoned,▁abandonné,24479,221003,0.601,0.6953
▁able,▁capable,3326,13920,0.361,0.434
▁absolute,▁absolu,6943,41113,0.6943,0.677
▁absolutely,▁absolument,11222,105185,0.286,0.7256
▁absorb,▁absorber,33398,102348,0.3955,0.4275
▁abstract,▁abstrait,9949,184858,0.4236,0.907
▁abuse,▁abus,16083,87725,0.2542,0.5044
▁accept,▁accepter,6502,123076,0.5015,0.5166
▁accepted,▁accepté,10814,172364,0.4636,0.736
▁accepts,▁accepte,44275,198920,0.7915,0.509
▁access,▁accès,3684,73466,0.5273,0.7905
▁accessories,▁accessoires,20071,70442,0.62,0.6973
▁accessory,▁accessoire,43105,204808,0.7124,0.7847
▁accommodation,▁logement,23205,88474,0.1323,0.1653
▁according,▁selon,4523,29161,0.2869,0.7715
▁account,▁compte,3185,21495,0.731,0.2878
▁accounts,▁comptes,12210,104555,0.4702,0.4675
▁acid,▁acide,6898,153631,0.9146,0.8486
▁acids,▁acides,22589,229602,0.9453,0.7163
▁acquired,▁acquis,18453,91132,0.5723,0.4292
▁acrobat,▁acrob,213684,162672,0.1664,0.253
▁acrylic,▁acrylique,34499,177345,0.6035,0.4702
▁active,▁actif,6066,101605,0.6294,0.8384
▁activities,▁activités,5728,51900,0.6772,0.8193
▁activity,▁activité,5640,79478,0.734,0.731
▁actor,▁acteur,14250,112505,0.766,0.9556
▁actors,▁acteurs,23436,95563,0.5605,0.867
▁actress,▁actrice,25710,147546,0.9404,0.886
▁adapt,▁adapter,14311,21850,0.1993,0.3884
▁adapted,▁adapté,25732,83456,0.2817,0.647
▁add,▁ajouter,1843,72662,0.635,0.554
▁added,▁ajouté,4192,89849,0.4814,0.8813
▁address,▁adresse,3986,52517,0.704,0.9136
▁addresses,▁adresses,21090,203741,0.737,0.7295
▁adds,▁ajoute,15985,111330,0.6816,0.6304
▁adjust,▁ajust,8017,31403,0.1759,0.4995
▁adjustable,▁réglable,31873,163099,0.1107,0.7754
▁administrative,▁administratif,19323,195342,0.537,0.5103
▁admire,▁admir,48663,30579,0.2266,0.4375
▁admitted,▁admis,16128,103923,0.2473,0.6177
▁adopted,▁adopté,13861,164036,0.42,0.8604
▁adult,▁adulte,11787,119218,0.6704,0.757
▁adults,▁adultes,14257,106683,0.658,0.772
▁advance,▁avance,8484,70164,0.4778,0.2615
▁advantage,▁avantage,9623,112198,0.864,0.789
▁advantages,▁avantages,17927,74224,0.787,0.648
▁adventure,▁aventure,18954,125357,0.696,0.83
▁adventures,▁aventures,37995,197111,0.667,0.8516
▁advertising,▁publicité,16171,94599,0.281,0.4348
▁affair,▁affaire,34616,101609,0.6875,0.2935
▁affairs,▁affaires,19308,61640,0.8765,0.4023
▁affiliated,▁affili,57920,21208,0.1804,0.3237
▁after,▁après,1452,15250,0.6763,0.8833
▁against,▁contre,2691,16224,0.683,0.7983
▁age,▁âge,3911,79689,0.4253,0.922
▁agencies,▁agences,13954,221201,0.1967,0.5635
▁agency,▁agence,11567,150400,0.267,0.5728
▁aggressive,▁agres,28148,98414,0.562,0.1212
▁agreement,▁accord,9352,12598,0.8286,0.7246
▁agreements,▁accords,26569,134616,0.592,0.4202
▁agricultural,▁agricole,16352,113917,0.3325,0.5566
▁alarm,▁alarme,21756,207073,0.1578,0.9463
▁alcohol,▁alcool,12678,151815,0.767,0.583
▁alive,▁vivant,14471,104666,0.556,0.3708
▁all,▁tous,832,9570,0.4834,0.811
▁allows,▁permet,8563,22244,0.424,0.4075
▁ally,▁alli,51305,47238,0.728,0.0984
▁almost,▁presque,4461,49466,0.835,0.6313
▁alone,▁seul,6563,32971,0.8296,0.6353
▁already,▁déjà,3303,24112,0.7188,0.885
▁also,▁aussi,1170,9472,0.614,0.504
▁always,▁toujours,2593,17738,0.7095,0.8164
▁among,▁parmi,3932,46253,0.306,0.747
▁amplifier,▁amplific,48361,176546,0.445,0.3909
▁analysis,▁analyse,4084,38874,0.862,0.6396
▁anatomy,▁anatom,49395,52151,0.7495,0.5645
▁and,▁et,578,1008,0.7803,0.8975
▁angel,▁ange,22448,25278,0.609,0.9326
▁angels,▁anges,34363,61474,0.7676,0.924
▁anger,▁colère,23790,129688,0.2854,0.7847
▁animals,▁animaux,8398,54033,0.641,0.884
▁animated,▁animé,24412,92639,0.8564,0.836
▁announce,▁annon,14733,96930,0.4412,0.2935
▁announced,▁annoncé,9777,101200,0.2241,0.653
▁announcement,▁annonce,24258,87214,0.3252,0.346
▁annual,▁annuel,8897,164552,0.7104,0.6484
▁anonymous,▁anonyme,35466,198866,0.521,0.6797
▁answer,▁réponse,3448,45277,0.6626,0.658
▁answers,▁réponses,10523,70852,0.1691,0.789
▁apartment,▁appartement,14438,65617,0.42,0.797
▁apartments,▁appartements,31402,214143,0.5327,0.716
▁appearance,▁aspect,10819,14818,0.4395,0.2319
▁appears,▁apparaît,8149,133847,0.1812,0.765
▁apple,▁pomme,15491,124805,0.668,0.953
▁appreciate,▁appré,13849,66496,0.2225,0.1284
▁approach,▁appro,5688,2198,0.3984,0.1534
▁approval,▁approbation,15560,140616,0.297,0.681
▁approved,▁approu,11559,136644,0.1936,0.4114
▁architect,▁archite,19507,77451,0.7007,0.5957
▁are,▁sont,708,4927,0.723,0.8535
▁armed,▁armé,23328,222351,0.804,0.537
▁army,▁armée,12211,131658,0.72,0.9424
▁around,▁autour,2449,39759,0.5537,0.612
▁arrested,▁arrêté,17461,120694,0.5684,0.655
▁arrival,▁arrivée,18553,92455,0.8115,0.917
▁arrives,▁arrive,35153,15624,0.8247,0.2766
▁arrow,▁flèche,9702,235111,0.4954,0.749
▁artificial,▁artific,18225,54735,0.6543,0.2438
▁artist,▁artiste,9161,95457,0.7183,0.8413
▁artistic,▁artistique,28114,107618,0.5444,0.502
▁artists,▁artistes,14880,81564,0.5146,0.834
▁ash,▁cend,29001,152282,0.5337,0.1476
▁assembly,▁assemb,14125,29128,0.3643,0.374
▁associate,▁associé,29932,151760,0.4495,0.58
▁associates,▁associés,49612,104012,0.3557,0.3743
▁assume,▁assum,12039,11011,0.1398,0.273
▁at,▁à,696,1305,0.3574,0.444
▁athlete,▁ath,44418,13950,0.7124,0.1334
▁atmosphere,▁atmos,13795,10463,0.3335,0.4321
▁atom,▁ato,24235,35954,0.942,0.1804
▁attached,▁attaché,12412,187150,0.2876,0.5483
▁attack,▁attaque,6279,149196,0.7236,0.85
▁attempt,▁tentative,8697,70943,0.929,0.6147
▁attribute,▁attribut,9224,214911,0.3928,0.8237
▁author,▁auteur,3426,88567,0.707,0.884
▁authority,▁autorité,10156,189571,0.5215,0.713
▁authors,▁auteurs,11646,70844,0.6074,0.812
▁automatic,▁automatique,17234,83215,0.8003,0.7817
▁automatically,▁automatiquement,11650,120977,0.561,0.879
▁autumn,▁automne,22119,104798,0.6284,0.626
▁availability,▁disponibilité,17315,108609,0.5557,0.7285
▁available,▁disponible,2506,23803,0.6196,0.8535
▁avoid,▁éviter,6858,70060,0.4875,0.5454
▁babies,▁bébés,25675,225630,0.1647,0.853
▁bacteria,▁bact,21920,197747,0.619,0.0888
▁bad,▁mauvais,3338,83113,0.6797,0.901
▁bag,▁sac,4079,6817,0.402,0.608
▁bags,▁sacs,15796,102447,0.5425,0.5044
▁ball,▁balle,5744,156509,0.3652,0.9443
▁balloon,▁ballon,36977,111781,0.3167,0.5117
▁balls,▁boules,20980,200379,0.2004,0.5757
▁banana,▁banane,31985,158486,0.779,0.8994
▁band,▁bande,5974,35009,0.1804,0.4563
▁bands,▁bandes,20925,147902,0.1191,0.364
▁bank,▁banque,5681,44129,0.2319,0.9355
▁basin,▁bassin,31725,125825,0.1451,0.2072
▁basket,▁panier,12220,63250,0.31,0.758
▁battery,▁batterie,10780,60207,0.639,0.835
▁battle,▁bataille,9509,94685,0.5522,0.887
▁bay,▁baie,11405,85947,0.253,0.859
▁beach,▁plage,8318,51745,0.9204,0.8843
▁beaches,▁plages,35953,161310,0.4082,0.5244
▁bear,▁ours,8718,31247,0.0812,0.8535
▁beast,▁bête,30365,194866,0.523,0.532
▁beautiful,▁beau,4964,18532,0.4888,0.5264
▁beauty,▁beauté,9281,67231,0.2844,0.8823
▁became,▁devint,5981,208155,0.2189,0.8643
▁because,▁parce,1861,31460,0.388,0.6494
▁become,▁devenir,3831,65968,0.7075,0.4746
▁becomes,▁devient,8485,61817,0.6387,0.773
▁bed,▁lit,3609,1770,0.67,0.9175
▁beds,▁lits,19800,149558,0.723,0.76
▁bee,▁abe,21903,59881,0.3108,0.4883
▁beer,▁bière,15052,136026,0.626,0.9624
▁before,▁avant,1794,14619,0.4941,0.801
▁beginning,▁début,7489,31438,0.343,0.683
▁begins,▁commence,13389,26328,0.7095,0.5757
▁behavior,▁comportement,8409,104736,0.545,0.4846
▁behind,▁derrière,5470,75929,0.4841,0.8687
▁beings,▁êtres,27290,187348,0.468,0.46
▁believes,▁croit,19267,134933,0.3877,0.4094
▁bell,▁cloche,20116,214813,0.7085,0.906
▁belly,▁ventre,35299,122483,0.9194,0.677
▁belong,▁apparten,8070,90004,0.2993,0.408
▁belongs,▁appartient,17239,133635,0.615,0.662
▁belt,▁ceinture,16716,108480,0.8633,0.8438
▁bench,▁banc,15475,100114,0.4521,0.9062
▁best,▁meilleur,1963,36670,0.5225,0.6567
▁better,▁mieux,2525,27658,0.53,0.8765
▁between,▁entre,1865,3692,0.72,0.813
▁bias,▁biais,18282,185906,0.09454,0.4106
▁big,▁grand,2824,4497,0.7236,0.5864
▁bike,▁vélo,10947,71249,0.7163,0.4766
▁bikes,▁vélos,32951,210650,0.2375,0.4583
▁billion,▁milliard,10409,207257,0.8467,0.6655
▁biodiversity,▁biodivers,55960,149569,0.956,0.3047
▁biological,▁biologique,21871,168893,0.891,0.6064
▁biology,▁biologie,33324,119838,0.8276,0.6387
▁biotechnology,▁biotech,122811,144538,0.7217,0.4873
▁bird,▁oiseau,13170,184529,0.678,0.9556
▁birds,▁oiseaux,13141,117857,0.713,0.943
▁birth,▁naissance,5951,67508,0.8423,0.905
▁birthday,▁anniversaire,10043,73152,0.4265,0.6465
▁bishop,▁évêque,50322,216525,0.3706,0.854
▁black,▁noir,2656,16895,0.887,0.8594
▁blades,▁lames,40538,217155,0.5034,0.113
▁blind,▁aveug,15994,183327,0.811,0.8716
▁block,▁bloc,3963,41888,0.3774,0.6724
▁blocks,▁blocs,13854,144448,0.3013,0.6846
▁blood,▁sang,5330,9258,0.9746,0.9326
▁blue,▁bleu,3868,27981,0.8447,0.9443
▁boat,▁bateau,11390,85246,0.716,0.826
▁boats,▁bateaux,26321,177372,0.5176,0.7246
▁body,▁corps,2971,20523,0.7295,0.744
▁bomb,▁bombe,16499,197838,0.4875,0.8965
▁bone,▁os,14354,2682,0.4524,0.472
▁book,▁livre,2870,25294,0.623,0.941
▁books,▁livres,6142,46843,0.8433,0.9253
▁boots,▁bottes,15571,186274,0.4065,0.4841
▁border,▁frontière,9994,154529,0.389,0.815
▁borders,▁frontières,31127,171044,0.317,0.617
▁born,▁né,7565,11475,0.609,0.8374
▁bottle,▁bouteille,12989,117336,0.2708,0.9033
▁bottles,▁bouteilles,24922,179277,0.4307,0.892
▁box,▁boîte,3741,63583,0.1367,0.838
▁boxes,▁boîtes,16032,205633,0.07825,0.748
▁boxing,▁boxe,47549,178616,0.5312,0.592
▁boy,▁garçon,5780,85296,0.2467,0.7427
▁boys,▁garçons,10194,131792,0.2437,0.845
▁brain,▁cerveau,9494,141320,0.2327,0.861
▁brake,▁frein,28264,118334,0.6465,0.82
▁branch,▁branche,12832,127562,0.704,0.8784
▁bread,▁pain,11843,4380,0.905,0.9507
▁break,▁pause,3376,25867,0.10864,0.361
▁breast,▁sein,14665,8399,0.59,0.1877
▁breath,▁souffle,10690,136108,0.468,0.4983
▁breathe,▁respir,34981,22966,0.606,0.5713
▁brick,▁bri,21810,4008,0.583,0.0379
▁bridge,▁pont,12261,47224,0.8545,0.974
▁bridges,▁ponts,37376,201409,0.4458,0.8525
▁brings,▁apporte,14042,133883,0.6587,0.652
▁brother,▁frère,8462,78512,0.708,0.9424
▁brothers,▁frères,18388,102356,0.6133,0.8955
▁brown,▁brun,8426,49958,0.472,0.8027
▁brush,▁brosse,16141,185193,0.1794,0.5293
▁bubble,▁bulle,25469,207747,0.073,0.2329
▁built,▁construit,6233,107963,0.3574,0.707
▁burn,▁brû,8466,83544,0.697,0.4092
▁but,▁mais,901,4108,0.2231,0.779
▁butt,▁cul,38532,8468,0.03087,0.2197
▁butter,▁beurre,10605,85396,0.8706,0.9077
▁butterfly,▁papillon,36123,146809,0.3157,0.9395
▁button,▁bouton,6086,60928,0.824,0.8804
▁buttons,▁boutons,20811,127208,0.8506,0.7827
▁by,▁par,731,755,0.29,0.4016
▁cable,▁câble,11871,101156,0.6655,0.797
▁cables,▁câbles,30350,213922,0.2805,0.6567
▁cake,▁gâteau,11514,138418,0.572,0.964
▁calculation,▁calcul,22091,5367,0.7925,0.4495
▁calendar,▁calendrier,16684,129415,0.6333,0.9263
▁calendars,▁calendriers,108404,202377,0.6157,0.805
▁called,▁appelé,3151,91900,0.172,0.6294
▁calls,▁appelle,9712,60065,0.606,0.404
▁calm,▁calme,15142,87728,0.657,0.7183
▁camp,▁campe,5930,41331,0.4219,0.8047
▁can,▁peut,798,9273,0.57,0.606
▁candidates,▁candidats,17725,136436,0.5107,0.775
▁candle,▁bougie,28162,187903,0.519,0.686
▁cannon,▁canon,52177,25494,0.669,0.5815
▁capacity,▁capacité,7924,69902,0.859,0.6133
▁cape,▁cap,55731,1983,0.142,0.3403
▁capital,▁capitale,6037,66831,0.2473,0.8496
▁captain,▁capitaine,22188,132139,0.3271,0.875
▁car,▁voiture,1226,28646,0.2374,0.927
▁carbon,▁carbone,8933,105280,0.903,0.694
▁careful,▁prudent,15136,71494,0.3604,0.3577
▁carnival,▁carnaval,77950,81845,0.745,0.8745
▁carried,▁porté,8405,99996,0.10785,0.427
▁cars,▁voitures,9446,94327,0.7314,0.8423
▁castle,▁château,24868,57709,0.4575,0.9375
▁cat,▁chat,4401,9232,0.9106,0.9155
▁catalyst,▁cataly,48001,26921,0.7637,0.203
▁categories,▁catégories,14486,59241,0.665,0.808
▁category,▁catégorie,9701,48386,0.6016,0.792
▁cathedral,▁cath,57046,81126,0.2484,0.09076
▁cave,▁grotte,23750,212388,0.838,0.8926
▁ceiling,▁plafond,22693,136581,0.542,0.909
▁cell,▁cellule,3027,121684,0.53,0.7974
▁cells,▁cellules,5999,119337,0.38,0.872
▁cement,▁ciment,29611,201893,0.84,0.729
▁cemetery,▁cimetière,52678,163809,0.73,0.7583
▁census,▁recensement,39211,166990,0.7476,0.7373
▁center,▁centre,5086,9122,0.6333,0.3032
▁centuries,▁siècles,24357,118452,0.644,0.8643
▁century,▁siècle,7861,32289,0.644,0.9434
▁ceremony,▁cérémonie,20313,115207,0.315,0.8896
▁certainly,▁certainement,9518,104749,0.3445,0.419
▁certificate,▁certificat,18099,152774,0.11676,0.815
▁chain,▁chaîne,9488,78475,0.266,0.76
▁chair,▁chaise,9205,98300,0.3215,0.5527
▁chairs,▁chaises,26139,177304,0.6357,0.7075
▁challenge,▁défi,10247,132037,0.3535,0.7383
▁challenges,▁défis,12382,164463,0.373,0.741
▁championship,▁championnat,31569,132598,0.4102,0.656
▁change,▁changer,2669,45217,0.306,0.5156
▁changed,▁changé,7052,116686,0.457,0.7676
▁chapel,▁chapelle,49344,135498,0.5566,0.5825
▁chapter,▁chapitre,6476,102304,0.6763,0.808
▁character,▁personnage,3285,82997,0.1376,0.6357
▁characteristic,▁caractéristique,17930,206311,0.825,0.6733
▁characters,▁caractères,8143,117099,0.1003,0.757
▁charity,▁charité,24981,212159,0.1984,0.822
▁charm,▁charme,24643,104612,0.3164,0.676
▁charming,▁charmant,33710,223870,0.1396,0.764
▁cheese,▁fromage,13624,109086,0.7607,0.945
▁chemical,▁chimique,9408,165691,0.655,0.787
▁chemistry,▁chimie,25410,191918,0.906,0.764
▁chest,▁poitrine,15704,168500,0.0566,0.61
▁chicken,▁poulet,12254,111000,0.4885,0.936
▁chief,▁chef,8987,20045,0.614,0.3389
▁child,▁enfant,2047,33313,0.4573,0.8013
▁childhood,▁enfance,20790,177006,0.687,0.9097
▁children,▁enfants,3069,22341,0.5127,0.9062
▁chocolate,▁chocolat,13171,61919,0.657,0.928
▁choice,▁choix,6241,32353,0.4512,0.7295
▁choose,▁choisir,6475,49616,0.8774,0.5034
▁chosen,▁choisi,12228,92188,0.658,0.6562
▁chronicle,▁chronique,130317,164617,0.4753,0.3499
▁church,▁église,8068,116461,0.486,0.963
▁cinema,▁cinéma,27840,57785,0.4368,0.773
▁circle,▁cercle,11698,119099,0.67,0.8477
▁circus,▁cirque,65916,211351,0.796,0.694
▁cities,▁villes,11090,61314,0.5996,0.7104
▁citizen,▁citoyen,24992,156963,0.8164,0.952
▁citizens,▁citoyens,13050,117729,0.459,0.755
▁city,▁ville,3413,16764,0.465,0.502
▁civilization,▁civilisation,37799,94606,0.7197,0.503
▁class,▁classe,1062,30739,0.5386,0.81
▁classic,▁classique,8889,58177,0.7046,0.4028
▁classics,▁classiques,52834,150001,0.2686,0.3076
▁classified,▁classé,22034,178921,0.3777,0.235
▁clean,▁propre,3903,36545,0.3838,0.585
▁clear,▁clair,3110,56718,0.3635,0.6377
▁clearly,▁clairement,8886,122344,0.172,0.7344
▁click,▁clic,5499,27446,0.225,0.7935
▁climate,▁climat,11662,59215,0.666,0.6616
▁clinic,▁clinique,26682,144008,0.2854,0.8394
▁closed,▁fermé,7337,143560,0.7524,0.8574
▁cloth,▁tissu,17997,68874,0.387,0.505
▁clothes,▁vêtements,12565,73913,0.4316,0.7563
▁cloud,▁nuage,12238,187899,0.8564,0.936
▁clouds,▁nuages,20828,190456,0.615,0.875
▁coal,▁charbon,16131,173196,0.8174,0.9155
▁coast,▁côte,10324,92440,0.2551,0.757
▁coat,▁manteau,13618,135747,0.3376,0.731
▁coffee,▁café,8423,18688,0.584,0.4536
▁cold,▁froid,7033,76349,0.7593,0.936
▁colleagues,▁collègues,22335,172181,0.11566,0.6616
▁collective,▁collectif,23901,156388,0.218,0.587
▁college,▁collège,9222,149885,0.125,0.4626
▁colony,▁colonie,34623,222432,0.4368,0.8564
▁colour,▁couleur,10164,30575,0.77,0.4639
▁colours,▁couleurs,21333,45665,0.893,0.4915
▁column,▁colonne,7590,100834,0.734,0.784
▁columns,▁colonnes,15130,181955,0.852,0.8076
▁combination,▁combinaison,11137,137256,0.2115,0.5234
▁combine,▁combin,21364,7887,0.1054,0.2954
▁come,▁venir,2063,40976,0.3315,0.4536
▁comedy,▁comédie,28150,168088,0.6567,0.8096
▁comes,▁vient,4549,40699,0.422,0.6724
▁comfort,▁confort,11852,44363,0.4766,0.841
▁comfortable,▁confortable,10750,86805,0.8203,0.7964
▁command,▁commande,5017,35208,0.263,0.4797
▁comments,▁commentaires,4703,37696,0.3374,0.8467
▁commissioner,▁commiss,50759,82823,0.3735,0.1477
▁commitments,▁engagements,50257,79919,0.7754,0.2646
▁committee,▁comité,11677,92777,0.6494,0.8853
▁companies,▁entreprises,6439,49048,0.3022,0.4988
▁companion,▁compagnon,31565,210111,0.5845,0.5293
▁compare,▁comparer,12711,122681,0.5645,0.7534
▁comparison,▁comparaison,11482,164526,0.646,0.766
▁competent,▁compét,33295,120303,0.2861,0.1625
▁competitor,▁concurrent,62420,43640,0.3835,0.6816
▁complement,▁complément,22649,216764,0.4482,0.5576
▁complete,▁complet,3407,40859,0.56,0.5024
▁completely,▁complètement,7322,91204,0.2302,0.6016
▁complex,▁complexe,5766,98750,0.6953,0.6987
▁components,▁composants,8832,157796,0.407,0.673
▁composed,▁composé,18588,92745,0.732,0.449
▁compromise,▁compromis,37031,225895,0.2903,0.72
▁computer,▁ordinateur,6875,81892,0.4116,0.932
▁concentrate,▁concentr,36570,6681,0.687,0.4778
▁concerning,▁concernant,14607,59317,0.3828,0.3816
▁concerns,▁concerne,10906,73293,0.4607,0.5464
▁concrete,▁béton,13660,123057,0.2228,0.824
▁conferences,▁conférences,40930,198083,0.3098,0.506
▁confidence,▁confiance,12087,60633,0.687,0.4573
▁configure,▁configurer,29432,223243,0.4539,0.4165
▁confirm,▁confirmer,10508,166729,0.629,0.7173
